tenant,app,bw_mbps,rtt_ms,loss,device_cpu,edge_cpu,input_kb,slo_p95_ms,chosen_action,mu_latency_ms,mu_energy_j,p95_conformal_ms,slo_viol,ts
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,180.0,edge1:med,367.296,20.09736,375.922,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,220.0,edge1:med,367.296,20.09736,375.922,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,100.0,cloud1:low,2128.440,60.44436,2138.925,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,140.0,edge1:med,1513.888,76.63981,1522.514,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,180.0,cloud1:low,2128.440,60.38461,2138.925,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,220.0,edge1:med,1513.888,76.67887,1522.514,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,100.0,edge1:med,2364.667,118.99109,2373.293,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,140.0,edge1:med,2364.667,119.09722,2373.293,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,180.0,edge1:med,2364.667,119.13627,2373.293,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,220.0,edge1:low,2958.333,107.22264,2967.978,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,100.0,edge1:med,197.352,6.80667,207.084,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,140.0,edge1:med,197.352,6.69173,207.084,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,180.0,edge1:med,197.352,6.73078,207.084,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,220.0,edge1:high,193.739,9.42310,205.047,0,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,100.0,edge1:med,418.268,20.17324,428.000,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,140.0,edge1:med,418.268,20.05830,428.000,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,180.0,edge1:med,418.268,20.09736,428.000,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,220.0,cloud1:low,614.117,15.82667,624.601,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1024.0,100.0,edge1:med,1563.294,76.75475,1573.026,1,1760775558
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1024.0,140.0,edge1:med,1563.294,76.63981,1573.026,1,1760775558
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1024.0,180.0,edge1:med,1563.294,76.67887,1573.026,1,1760775558
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1024.0,220.0,edge1:med,1563.294,76.67887,1573.026,1,1760775558
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1536.0,100.0,edge1:med,2414.358,118.99109,2424.090,1,1760775558
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1536.0,140.0,edge1:med,2414.358,119.09722,2424.090,1,1760775558
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1536.0,180.0,edge1:med,2414.358,119.13627,2424.090,1,1760775558
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,1536.0,220.0,edge1:med,2414.358,119.13627,2424.090,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,64.0,100.0,edge1:med,186.967,7.00761,195.192,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,64.0,140.0,edge1:med,186.967,7.15290,195.192,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,64.0,180.0,cloud1:low,314.291,5.66367,324.776,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,64.0,220.0,edge1:med,189.285,7.19196,197.510,0,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,256.0,100.0,edge1:med,401.474,20.51297,409.699,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,256.0,140.0,edge1:med,401.474,20.65826,409.699,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,256.0,180.0,edge1:med,401.474,20.69731,409.699,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,256.0,220.0,edge1:med,401.474,20.69731,409.699,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1024.0,100.0,edge1:med,1532.650,77.13613,1540.875,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1024.0,140.0,edge1:med,1532.650,77.28142,1540.875,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1024.0,180.0,edge1:med,1532.650,77.32048,1540.875,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1024.0,220.0,edge1:med,1532.650,77.32048,1540.875,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1536.0,100.0,edge1:med,2362.479,119.37246,2370.704,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1536.0,140.0,edge1:med,2362.479,119.73882,2370.704,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1536.0,180.0,edge1:med,2362.479,119.77787,2370.704,1,1760775558
tenantA,app1,5.000,40.000,0.00300,0.500,0.200,1536.0,220.0,edge1:med,2362.479,119.77787,2370.704,1,1760775558
